genus	statistic	p.value	method	B	7	p.value.adj
Alistipes	16.867575615107352	4.008044910236805e-5	Kruskal-Wallis rank sum test	0.08499999999999999	0	0.0019238615569136665
Bacteroidales Unclassified	13.398607673715139	2.5181114605605295e-4	Kruskal-Wallis rank sum test	0.0285	0.01	0.0030217337526726356
Bifidobacterium	14.111332007952294	1.7230262964133914e-4	Kruskal-Wallis rank sum test	0.004	5e-4	0.0030217337526726356
Ruminococcus	13.849352877550231	1.9806493275630068e-4	Kruskal-Wallis rank sum test	0.001	0	0.0030217337526726356
Lachnospiraceae Unclassified	10.116870573084352	0.0014691824551589132	Kruskal-Wallis rank sum test	0.046	0.1765	0.011753459641271306
Oscillibacter	10.367321457090187	0.0012826550859044638	Kruskal-Wallis rank sum test	0.003	0.0085	0.011753459641271306
Clostridium XlVa	7.095228521645898	0.007728943660137491	Kruskal-Wallis rank sum test	0.001	0.0035	0.04680726073088993
Turicibacter	7.078550238617316	0.007801210121814988	Kruskal-Wallis rank sum test	0.0425	0.012	0.04680726073088993
Anaeroplasma	6.726771179909375	0.0094976370210484	Kruskal-Wallis rank sum test	0.001	0	0.05065406411225813
Akkermansia	5.5737393300337255	0.018231785651519544	Kruskal-Wallis rank sum test	0.005	0.038500000000000006	0.08751257112729381
Clostridiales Unclassified	4.9906403304931635	0.025484776521044757	Kruskal-Wallis rank sum test	0.016	0.0085	0.10355993800283493
Clostridium XlVb	4.96335134777795	0.025889984500708733	Kruskal-Wallis rank sum test	0	0.001	0.10355993800283493
Pseudoflavonifractor	4.776343562266604	0.028853323404830974	Kruskal-Wallis rank sum test	0	0.001	0.10653534795629899
Bacteroides	4.230318114200713	0.039707997606255874	Kruskal-Wallis rank sum test	0.061	0.101	0.13614170607859155
Unclassified	3.4139410809556776	0.0646478773182041	Kruskal-Wallis rank sum test	0.007	0.004	0.2068732074182531
Dorea	3.111111111111096	0.07775989643932991	Kruskal-Wallis rank sum test	0	0	0.21955735465222564
Staphylococcus	3.1764705882352793	0.07470593331213125	Kruskal-Wallis rank sum test	0	0	0.21955735465222564
Acetatifactor	2.069373275522275	0.15028326710712142	Kruskal-Wallis rank sum test	0.003	0.004	0.2842923069913827
Bacteroidetes Unclassified	2.0571428571428467	0.15149399240422132	Kruskal-Wallis rank sum test	0	0	0.2842923069913827
Butyricicoccus	2.2261781905744877	0.1356891137454634	Kruskal-Wallis rank sum test	0	0.001	0.2842923069913827
Clostridium IV	2.1972511144130746	0.13825709502247852	Kruskal-Wallis rank sum test	0	0	0.2842923069913827
Coriobacteriaceae Unclassified	2.0322580645161197	0.15399166628699895	Kruskal-Wallis rank sum test	0	0	0.2842923069913827
Enterococcus	2.0571428571428467	0.15149399240422132	Kruskal-Wallis rank sum test	0	0	0.2842923069913827
Enterorhabdus	2.3217384445496205	0.1275773749860588	Kruskal-Wallis rank sum test	0.001	0	0.2842923069913827
Ruminococcaceae Unclassified	2.2663839740554232	0.13220805799846827	Kruskal-Wallis rank sum test	0.0085	0.012	0.2842923069913827
Streptococcus	2.0571428571428467	0.15149399240422132	Kruskal-Wallis rank sum test	0	0	0.2842923069913827
Enterobacteriaceae Unclassified	1.763323816321686	0.18421047216049935	Kruskal-Wallis rank sum test	0	0.001	0.3274852838408877
Porphyromonadaceae Unclassified	1.6020139604073544	0.20561803655574404	Kruskal-Wallis rank sum test	0.5934999999999999	0.518	0.3524880626669898
Acidaminococcus	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Catonella	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Clostridia Unclassified	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Clostridiales Incertae Sedis XIII Unclassified	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Erysipelotrichaceae Unclassified	1.4379173231300282	0.2304766603511922	Kruskal-Wallis rank sum test	0.001	0.002	0.35420707854464945
Firmicutes Unclassified	1.1925210883695476	0.2748216121485639	Kruskal-Wallis rank sum test	0.001	0	0.35420707854464945
Fusobacterium	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Lactobacillaceae Unclassified	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Leptotrichia	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Peptostreptococcaceae Unclassified	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Prevotella	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Stomatobaculum	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Subdoligranulum	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Sutterella	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Veillonella	0.9999999999999959	0.31731050786291515	Kruskal-Wallis rank sum test	0	0	0.35420707854464945
Lactobacillus	0.5302802480273628	0.4664890612352302	Kruskal-Wallis rank sum test	0.028999999999999998	0.034	0.5088971577111602
Parabacteroides	0.43572984749458415	0.5091907097906536	Kruskal-Wallis rank sum test	0	0	0.5431367571100305
Barnesiella	0.35353535353535176	0.5521186425697764	Kruskal-Wallis rank sum test	0	0	0.5761238009423754
Blautia	0.17241379310344748	0.6779754429107883	Kruskal-Wallis rank sum test	0	0	0.692400452334422
Olsenella	0.052709255745290146	0.8184142917147408	Kruskal-Wallis rank sum test	0	0	0.8184142917147408
Acetitomaculum	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Actinobacillus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Actinomyces	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Aerococcus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Aestuariispira	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Alloprevotella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Anaerofustis	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Anaerostipes	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Anaerotruncus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Atopobium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Atopostipes	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Aurantimonadaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bacillaceae 1 Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bacillales Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bacilli Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bacillus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Betaproteobacteria Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bifidobacteriaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bilophila	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Brachybacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Bradyrhizobium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Brucellaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Burkholderia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Burkholderiales Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Butyricimonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Butyrivibrio	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Campylobacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Carnobacteriaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Chitinophagaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Cloacibacillus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Cloacibacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Clostridiaceae 1 Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Clostridium sensu stricto	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Clostridium XI	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Clostridium XVIII	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Collinsella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Comamonadaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Corynebacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Curvibacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Cystobacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Desulfovibrio	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Devosia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Dialister	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Dysgonomonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Escherichia/Shigella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Eubacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Faecalibacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Finegoldia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Flavobacteriaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Flavobacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Flavonifractor	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Fusicatenibacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Fusobacteriaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Gemella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Gemmata	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Geobacillus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Granulicatella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Hungatella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Hyphomicrobium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Janthinobacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Jeotgalicoccus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Lactobacillales Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Lactococcus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Listeria	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Lysobacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Mannheimia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Marmoricola	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Megasphaera	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Methylobacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Morganella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Mucispirillum	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Neisseria	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Neisseriaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Odoribacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Paraprevotella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Parasutterella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Parvimonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Pasteurellaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Pectinatus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Peptoniphilus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Peptostreptococcus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Phascolarctobacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Phenylobacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Phocaeicola	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Phyllobacteriaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Phyllobacterium	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Porphyromonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Proteobacteria Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Proteus	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Pseudomonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Pyramidobacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Ralstonia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Romboutsia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Roseburia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Rothia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Ruminococcus2	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Senegalimassilia	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Sphingomonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Stenotrophomonas	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Succiniclasticum	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Succinivibrio	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Terrisporobacter	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Veillonellaceae Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Verrucomicrobia Unclassified	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
Weissella	NaN	NaN	Kruskal-Wallis rank sum test	0	0	NaN
