otu	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.002	0.122	0.1235	0.0665	0.001463622684512553	0.0015305645781515838	0.9626300104906452	0.0015305645781515838	0.1756492713191164	0.1756492713191164
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0.033	0.3615	0.14300000000000002	0.062	0.03343974213924222	0.15001058562755587	0.22575953458306403	0.6730985672503034	0.0959922430510666	0.2883116883116883
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0.0645	0	0	0	0.03716254931622293	0.0024781628339861613	0.8671053804448808	0.0024781628339861613	0.20876840435216534	0.21088120277307015
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0.1215	0.44503129252949997	0.3948017374766344	0.6066329427267063	0.1910339206118882	0.023801731736131274	0.05013433358398649
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0.0105	0	0	0	0.03527051200341461	0.08484601443974828	NA	0.23703098025642214	0.08484601443974828	0.21966791955528142
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0.0385	0	0	0.026000000000000002	0.0047593091434942995	0.03621677034930564	NA	1	3.6976398786413484e-4	0.0047593091434942995
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0.001	0	0	0.106	0.017721706031169866	0.04329947908121223	0.5556897902827946	0.1418355854021942	9.342445593180941e-4	0.008335290330297097
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0.0315	0	0	0	6.130242985678228e-5	0.002310382237860389	0.07287439638503765	0.002310382237860389	0.23382077833064333	0.5270892568655381
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0	0.0095	0.008	0.0055	1.3356420336711766e-4	4.6712227965904705e-4	0.9249153706882359	0.0024314063527662573	0.415161188160938	0.3897262620087626
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0.0485	0.6510766340778344	0.6510766340778344	0.5170814612826662	7.793587007397593e-4	7.793587007397593e-4	0.005556860220198065
Porphyromonadaceae (OTU 15)	Kruskal-Wallis rank sum test	0	0	0	0.007	0.11820840367043721	0.5144526269147639	0.09716586184671686	0.055902529103722225	4.437167854369618e-4	0.442929108525075
Lachnospiraceae (OTU 20)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0.0059499489116712325	0.0016436886613245814	0.3455570234313006	0.0016436886613245814	0.3455570234313006	NA
Porphyromonadaceae (OTU 21)	Kruskal-Wallis rank sum test	0	0	0	0.009	NA	NA	NA	7.066745782428885e-4	7.066745782428885e-4	0.009621719585759136
Clostridium (OTU 22)	Kruskal-Wallis rank sum test	0.0035	0.0025	0	0	0.7676301767490845	0.009072711626118089	0.18363806721842862	0.009072711626118089	0.18363806721842862	1
Lactobacillus (OTU 23)	Kruskal-Wallis rank sum test	0.0055	0.0055	0.001	0.0015	0.6844783266060517	0.035118493522573214	0.035118493522573214	0.06378442211123504	0.035118493522573214	0.6040366209299673
Lachnospiraceae (OTU 24)	Kruskal-Wallis rank sum test	0.0085	0	0	0	2.914227237813222e-4	0.0011485026343575847	0.3455570234313006	0.0011485026343575847	0.3455570234313006	NA
Porphyromonadaceae (OTU 25)	Kruskal-Wallis rank sum test	0	0	0	0.0135	NA	NA	NA	7.066745782428885e-4	7.066745782428885e-4	0.009621719585759136
Ruminococcaceae (OTU 27)	Kruskal-Wallis rank sum test	0.009999999999999998	0	0	0	3.0342054134050143e-5	6.937033587204274e-4	NA	6.937033587204274e-4	NA	NA
Bifidobacterium (OTU 28)	Kruskal-Wallis rank sum test	0.0015	5e-4	0.003	0.010499999999999999	0.39432114197456286	0.39432114197456286	0.07818207808815107	0.047092207914838355	0.015516113043467256	0.08072823310534172
Lachnospiraceae (OTU 29)	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0	0.21895321840940044	0.009025714444294878	0.40465676192728606	0.009025714444294878	0.21895321840940044	0.40465676192728606
Lachnospiraceae (OTU 30)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0061034694116537495	0.0061034694116537495	0.3447209741884441	0.0061034694116537495	0.3447209741884441	NA
Lachnospiraceae (OTU 31)	Kruskal-Wallis rank sum test	0.004	0	0	0	1.0966061388339176e-4	0.0016539516308753373	NA	0.0016539516308753373	NA	NA
Lachnospiraceae (OTU 32)	Kruskal-Wallis rank sum test	0.003	0	0	5e-4	0.018098203981437418	0.12401247429897214	0.7316005889599014	0.12401247429897214	0.1413792707340133	0.5338163898931
Lachnospiraceae (OTU 33)	Kruskal-Wallis rank sum test	0.006	0	0	0	0.015265861421977603	0.012389654718213385	0.9030645002366904	0.012389654718213385	1	0.9030645002366904
Lachnospiraceae (OTU 34)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.008538655008429897	0.028866319387474824	NA	0.028866319387474824	NA	NA
Clostridiales (OTU 35)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.023032661316958844	0.024852058773567155	0.5556897902827946	0.024852058773567155	0.5556897902827946	NA
Lachnospiraceae (OTU 36)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.024265612628875784	0.019753320524190487	0.22043638574536195	0.019753320524190487	0.22043638574536195	NA
Ruminococcaceae (OTU 37)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04686704145129535	0.04686704145129535	0.5556897902827946	0.04686704145129535	0.5556897902827946	NA
Porphyromonadaceae (OTU 40)	Kruskal-Wallis rank sum test	0	0	0	0.006	NA	NA	NA	0.017462813807417425	0.017462813807417425	0.07400996998623473
Lachnospiraceae (OTU 41)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0011280293551363919	0.007827932526845601	NA	0.007827932526845601	NA	NA
Bacteria (OTU 43)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.0011501751797324343	0.00801208286464164	NA	0.00801208286464164	NA	NA
Porphyromonadaceae (OTU 44)	Kruskal-Wallis rank sum test	0	0	0	0.0215	NA	NA	NA	1.1228616169026781e-4	1.1228616169026781e-4	0.0027784301100990325
Oscillibacter (OTU 45)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0.0011457214498811238	0.007975076594922156	NA	0.007975076594922156	NA	NA
Lachnospiraceae (OTU 46)	Kruskal-Wallis rank sum test	0.003	0	0	0	0.012484872118249783	0.025702617330758938	0.5556897902827946	0.025702617330758938	0.5556897902827946	NA
Lachnospiraceae (OTU 47)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.006586440804671023	0.041096308294401016	0.6675665465229991	0.023593758730254055	0.6668277483393535	0.6069851428909291
Porphyromonadaceae (OTU 48)	Kruskal-Wallis rank sum test	0	0	0	0.0025	0.44914667291196353	NA	0.5556897902827946	0.012433585109962179	0.022503438826760848	0.04674865096944561
Ruminococcaceae (OTU 50)	Kruskal-Wallis rank sum test	0.0045000000000000005	0	0	0	0.0062993902169200325	0.0062993902169200325	0.3447209741884441	0.0062993902169200325	0.3447209741884441	NA
Clostridium (OTU 51)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0025029276191248285	0.0025029276191248285	0.5556897902827946	0.0025029276191248285	0.5556897902827946	NA
Ruminococcaceae (OTU 52)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0042782183550741665	0.005911167635720328	0.3447209741884441	0.005911167635720328	0.3447209741884441	NA
Ruminococcaceae (OTU 54)	Kruskal-Wallis rank sum test	0.005	0	0	0	0.0032414205215211952	0.015614852640330988	NA	0.015614852640330988	NA	NA
Acetatifactor (OTU 55)	Kruskal-Wallis rank sum test	0.0055	0	0	0	0.0011303485171345795	0.0011716169467719851	0.3455570234313006	0.0011716169467719851	0.3455570234313006	NA
Butyricicoccus (OTU 56)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.0010592063095533064	0.007253533612539718	NA	0.007253533612539718	NA	NA
Oscillibacter (OTU 57)	Kruskal-Wallis rank sum test	0.0035	0	0	0	1.8191933211473687e-4	0.0036373375947530836	NA	0.0036373375947530836	0.2435633107610868	0.40465676192728606
Ruminococcaceae (OTU 59)	Kruskal-Wallis rank sum test	0.002	0	0	0	0.0060711679097186	0.0060711679097186	0.3455570234313006	0.0060711679097186	0.3455570234313006	NA
Ruminococcaceae (OTU 60)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04984949872846063	0.0374365500767317	0.3447209741884441	0.0374365500767317	0.3447209741884441	NA
Lachnospiraceae (OTU 62)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04775417864447317	0.04775417864447317	0.5556897902827946	0.04775417864447317	0.5556897902827946	NA
Lachnospiraceae (OTU 63)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.0026638288650076905	0.002691690725499066	0.5556897902827946	0.002691690725499066	0.5556897902827946	NA
Lachnospiraceae (OTU 66)	Kruskal-Wallis rank sum test	0.0025	0	0	0	0.022720107738788405	0.010218362326319938	0.4063108359228304	0.009923709785252024	0.20876840435216534	0.4063108359228304
Pseudoflavonifractor (OTU 69)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.04884436210400216	0.04884436210400216	0.3447209741884441	0.04884436210400216	0.3447209741884441	NA
Lachnospiraceae (OTU 71)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.02084225445321674	0.050060913114699915	NA	0.050060913114699915	NA	NA
Lachnospiraceae (OTU 73)	Kruskal-Wallis rank sum test	0.0035	0	0	0	0.0026596146875326253	0.0026596146875326253	0.5556897902827946	0.0026596146875326253	0.5556897902827946	NA
Lachnospiraceae (OTU 77)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003161147369388968	0.015165474109767669	NA	0.015165474109767669	NA	NA
Porphyromonadaceae (OTU 80)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.01730998273538846	0.01730998273538846	0.07313979965890893
Lachnospiraceae (OTU 81)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Lachnospiraceae (OTU 86)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.034843431807930605	0.2435633107610868	0.2435633107610868	0.1255751151405623	NA	0.40465676192728606
Porphyromonadaceae (OTU 87)	Kruskal-Wallis rank sum test	0	0	0	0	NA	NA	NA	0.072290834822517	0.072290834822517	0.173945016799909
Lachnospiraceae (OTU 88)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.08428103794894698	0.08428103794894698	0.5556897902827946	0.08428103794894698	0.5556897902827946	NA
Ruminococcaceae (OTU 92)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Lachnospiraceae (OTU 94)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.12519855693531595	0.06121164427810373	0.43913498788423644	0.046748202800903485	0.20761380125279844	0.43913498788423644
Clostridiales (OTU 97)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.00970125030580663	0.012985611889139857	0.5556897902827946	0.012985611889139857	0.5556897902827946	NA
Ruminococcaceae (OTU 98)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Ruminococcaceae (OTU 101)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.02084225445321674	0.050060913114699915	NA	0.050060913114699915	NA	NA
Lachnospiraceae (OTU 102)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.011913957308527786	0.011913957308527786	0.5556897902827946	0.011913957308527786	0.5556897902827946	NA
Bacteria (OTU 108)	Kruskal-Wallis rank sum test	0.0015	0	0	0	0.0031953860408071998	0.015357373001479074	NA	0.015357373001479074	NA	NA
Lachnospiraceae (OTU 110)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.008538655008429897	0.028866319387474824	NA	0.028866319387474824	NA	NA
Clostridiales (OTU 115)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.005268578948981613	0.03791368527441917	NA	0.07267222026674319	0.2435633107610868	0.40465676192728606
Ruminococcaceae (OTU 118)	Kruskal-Wallis rank sum test	0	0	0	0	0.04928006944224782	0.08541045077947976	NA	0.08541045077947976	NA	NA
Lachnospiraceae (OTU 125)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003127154113244626	0.01497462003069268	NA	0.01497462003069268	NA	NA
Clostridium (OTU 126)	Kruskal-Wallis rank sum test	0.001	0	0	0	0.023910109429715453	0.023910109429715453	0.3447209741884441	0.023910109429715453	0.3447209741884441	NA
Firmicutes (OTU 129)	Kruskal-Wallis rank sum test	0	0	0	0	0.048724136753636335	0.08437526502953398	NA	0.08437526502953398	NA	NA
Lachnospiraceae (OTU 131)	Kruskal-Wallis rank sum test	0	0	0	0	0.04886287055570175	0.08463407104743573	NA	0.08463407104743573	NA	NA
Coriobacteriaceae (OTU 158)	Kruskal-Wallis rank sum test	5e-4	0	0	0	0.01989757425334912	0.047536931202069074	NA	0.047536931202069074	NA	NA
Porphyromonadaceae (OTU 175)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.017462813807417425	0.017462813807417425	0.07400996998623473
Porphyromonadaceae (OTU 194)	Kruskal-Wallis rank sum test	0	0	0	5e-4	NA	NA	NA	0.01730998273538846	0.01730998273538846	0.07313979965890893
